INFO 2025-01-01 19:37:02,432 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-01 19:37:02,434 autoreload Waiting for apps ready_event.
DEBUG 2025-01-01 19:37:02,465 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-01 19:37:02,473 autoreload Watching dir /app/templates with glob **/*.
DEBUG 2025-01-01 19:37:02,474 autoreload Watching dir /app/locale with glob **/*.mo.
DEBUG 2025-01-01 19:37:02,477 autoreload Watching dir /app/yarungo/locale with glob **/*.mo.
DEBUG 2025-01-01 19:37:02,557 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-01-01 19:37:02,562 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-01-01 19:37:02,564 utils (0.001) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-01-01 19:37:02,568 utils (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-01-01 19:37:02,583 autoreload File /usr/local/lib/python3.13/site-packages/django/core/checks/__init__.py first seen with mtime 1735713297.390412
DEBUG 2025-01-01 19:37:02,583 autoreload File /usr/local/lib/python3.13/site-packages/sqlparse/cli.py first seen with mtime 1735713296.740412
DEBUG 2025-01-01 19:37:02,584 autoreload File /usr/local/lib/python3.13/site-packages/django/utils/duration.py first seen with mtime 1735713297.430412
DEBUG 2025-01-01 19:37:02,585 autoreload File /usr/local/lib/python3.13/pathlib/__init__.py first seen with mtime 1735079334.0
DEBUG 2025-01-01 19:37:02,585 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/admin/checks.py first seen with mtime 1735713296.950412
DEBUG 2025-01-01 19:37:02,586 autoreload File /usr/local/lib/python3.13/site-packages/django/core/checks/templates.py first seen with mtime 1735713297.390412
DEBUG 2025-01-01 19:37:02,586 autoreload File /usr/local/lib/python3.13/_colorize.py first seen with mtime 1735079333.0
DEBUG 2025-01-01 19:37:02,587 autoreload File /usr/local/lib/python3.13/email/header.py first seen with mtime 1735079334.0
DEBUG 2025-01-01 19:37:02,587 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/sites/__init__.py first seen with mtime 1735713297.3504121
DEBUG 2025-01-01 19:37:02,588 autoreload File /usr/local/lib/python3.13/asyncio/locks.py first seen with mtime 1735079334.0
DEBUG 2025-01-01 19:37:02,590 autoreload File /usr/local/lib/python3.13/site-packages/django/utils/functional.py first seen with mtime 1735713297.440412
DEBUG 2025-01-01 19:37:02,592 autoreload File /usr/local/lib/python3.13/lib-dynload/_ssl.cpython-313-x86_64-linux-gnu.so first seen with mtime 1735079344.0
DEBUG 2025-01-01 19:37:02,593 autoreload File /usr/local/lib/python3.13/site-packages/django/db/models/functions/comparison.py first seen with mtime 1735713297.410412
DEBUG 2025-01-01 19:37:02,593 autoreload File /usr/local/lib/python3.13/site-packages/django/utils/connection.py first seen with mtime 1735713297.430412
DEBUG 2025-01-01 19:37:02,594 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1735713297.0504122
DEBUG 2025-01-01 19:37:02,594 autoreload File /usr/local/lib/python3.13/lib-dynload/_pickle.cpython-313-x86_64-linux-gnu.so first seen with mtime 1735079344.0
DEBUG 2025-01-01 19:37:02,594 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1735713297.0504122
DEBUG 2025-01-01 19:37:02,595 autoreload File /usr/local/lib/python3.13/site-packages/django/db/models/lookups.py first seen with mtime 1735713297.410412
DEBUG 2025-01-01 19:37:02,595 autoreload File /usr/local/lib/python3.13/site-packages/django/views/generic/dates.py first seen with mtime 1735713297.440412
DEBUG 2025-01-01 19:37:02,596 autoreload File /usr/local/lib/python3.13/site-packages/asgiref/__init__.py first seen with mtime 1735713296.8304121
DEBUG 2025-01-01 19:37:02,596 autoreload File /usr/local/lib/python3.13/email/quoprimime.py first seen with mtime 1735079334.0
DEBUG 2025-01-01 19:37:02,596 autoreload File /usr/local/lib/python3.13/site-packages/sqlparse/engine/__init__.py first seen with mtime 1735713296.740412
DEBUG 2025-01-01 19:37:02,597 autoreload File /usr/local/lib/python3.13/operator.py first seen with mtime 1735079333.0
DEBUG 2025-01-01 19:37:02,597 autoreload File /usr/local/lib/python3.13/site-packages/django/db/backends/base/introspection.py first seen with mtime 1735713297.400412
DEBUG 2025-01-01 19:37:02,598 autoreload File /usr/local/lib/python3.13/lib-dynload/_contextvars.cpython-313-x86_64-linux-gnu.so first seen with mtime 1735079344.0
DEBUG 2025-01-01 19:37:02,598 autoreload File /usr/local/lib/python3.13/site-packages/django/middleware/csrf.py first seen with mtime 1735713297.420412
DEBUG 2025-01-01 19:37:02,598 autoreload File /usr/local/lib/python3.13/uuid.py first seen with mtime 1735079334.0
